Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level
school,,2.20293708,3.055021828,82.03591206,6.0,9.0,2.0,0
school,7.015505382,1.659197948,3.208249814,75.51848222,4.0,2.0,1.0,0
school,9.064413943,0.948997354310476,1.587663879,71.40785413,7.0,6.0,4.0,0
school,9.269283332,1.734126802,3.814701233,89.4771477,5.0,9.0,1.0,0
school,7.240189116,1.406654513,3.546275806,94.28284548,8.0,5.0,9.0,0
working_student,5.708197136,4.873495366,3.028323632,81.43529216,8.0,6.0,3.0,0
college,7.067263257,5.928807258,,97.11413103,6.0,5.0,2.0,1
school,7.857338193,3.568239249,4.644981761,78.85633774,5.0,7.0,10.0,0
college,7.512799838,5.202875901,,88.54732796,8.0,7.0,6.0,1
college,7.912894899,4.75770268,1.707423896,76.21574223,9.0,6.0,9.0,1
school,8.155236651,3.429935281,1.41176914,69.51624853,2.0,,6.0,0
school,7.42842398,3.540334266,4.52438839,81.86021927,9.0,4.0,12.0,1
college,,3.392293957,5.683285586,97.78152901,4.0,4.0,,0
school,7.383991749,2.061483012,1.461250094,95.99175865,5.0,5.0,12.0,0
college,7.135024355,5.440841354,1.193473491,66.93542775,10.0,9.0,1.0,1
school,7.617411108,1.505592458,0.40948588616678,64.54731906,7.0,4.0,12.0,0
college,7.439732992,1.933699616,1.552157796,76.23181724,8.0,10.0,2.0,0
school,5.820080299,3.209814838,5.130593066,75.695144,7.0,,8.0,1
working_student,4.665202561,6.343420645,6.355093332,64.24658052,6.0,10.0,7.0,0
college,4.660658256,5.427960642,4.74592655,95.36557591,4.0,7.0,9.0,0
school,7.627699051,1.540743143,0.649339345079768,78.7226982,3.0,1.0,2.0,0
school,7.345751027,0.61659525386063,4.281970744,,5.0,7.0,4.0,0
college,4.591442798,5.949229691,7.922233859,86.9517377,5.0,8.0,10.0,0
school,7.629614667,3.105334989,5.26720288,82.94250707,2.0,4.0,7.0,0
school,7.339118108,0.913543016631738,1.314904339,71.25437482,9.0,8.0,5.0,1
college,8.282658707,2.240806422,3.799465469,93.82518167,7.0,7.0,6.0,1
college,7.159643541,5.351006051,1.877210073,88.5369213,5.0,8.0,10.0,0
working_student,5.758396889,9.864052542,2.929448036,68.58742597,9.0,6.0,6.0,1
school,6.455610655,2.195308077,2.657093502,99.18433033,7.0,7.0,12.0,0
college,6.724159854,5.987493367,1.797224771,86.99154098,5.0,10.0,8.0,0
school,,5.974760849,0.461315853015286,105.0,1.0,3.0,3.0,0
school,6.21593421,2.843336698,5.603718064,78.0705999,2.0,9.0,9.0,0
school,6.827451028,3.419464542,9.02768654,,,5.0,3.0,1
college,7.877140332,3.120934462,2.83416967,71.95927861,3.0,10.0,7.0,0
college,4.463863315,3.411844216,0.628235650130737,95.07987145,6.0,10.0,8.0,0
working_student,4.071199506,8.940655519,4.047436349,63.56536031,1.0,5.0,4.0,1
college,5.594070801,3.239011903,0.985893850713115,78.69612966,10.0,3.0,12.0,0
school,9.211800809,2.517139307,3.987022604,82.22291244,6.0,6.0,12.0,0
school,9.613806255,4.225302675,2.934987124,88.51564348,4.0,4.0,6.0,1
college,6.595247036,3.463608924,,64.07020246,6.0,6.0,8.0,0
school,6.210145687,2.923767974,5.19817106,72.50601149,3.0,4.0,8.0,0
college,6.390188459,7.143687611,4.024364223,98.2704404,,4.0,5.0,1
school,,2.446648562,5.234910691,67.09935752,1.0,5.0,7.0,1
working_student,7.554137027,4.192960179,1.755647614,82.05340486,5.0,6.0,11.0,0
,8.063624229,3.787468739,0.882452605290824,,2.0,6.0,6.0,0
working_student,5.300915877,2.394076062,4.596757017,89.74286607,5.0,1.0,9.0,0
college,9.693853015,3.863077915,3.521425634,63.99059813,,7.0,1.0,1
school,7.795020228,2.26422296,6.183879727,90.77859946,5.0,7.0,11.0,0
school,5.879558992,2.024819021,4.935459681,68.39391145,5.0,5.0,2.0,0
working_student,7.184741194,7.039294173,5.800200091,69.75767448,6.0,3.0,6.0,1
college,8.225111894,2.502611296,1.725674878,99.06840423,,,3.0,0
school,7.227111057,2.998115817,1.256225486,87.36810712,7.0,7.0,,0
school,6.681604167,2.992552858,2.255527776,98.05758842,2.0,6.0,,0
working_student,,4.911525504,0.632594790055018,74.83993263,3.0,6.0,5.0,0
college,5.676340132,3.318657206,3.340504033,,7.0,8.0,8.0,0
school,6.45731787,2.977341701,2.765660288,97.18753458,5.0,8.0,1.0,0
college,9.564909127,5.356500993,5.863992908,69.82467008,9.0,6.0,6.0,0
college,2.55157281,3.321026951,3.74575712,,8.0,7.0,3.0,1
working_student,8.330080348,6.004838022,4.068445017,67.771037,,7.0,12.0,0
working_student,5.729777491,8.492616403,4.572655693,87.57896427,8.0,6.0,3.0,1
college,7.037024364,5.139091869,,97.44695646,3.0,7.0,5.0,0
college,6.230648972,6.595569744,3.897232874,96.57484999,9.0,6.0,4.0,1
school,8.441130259,2.484681373,2.549325777,57.7666207,9.0,7.0,6.0,1
college,6.605822812,7.557171969,7.919565363,91.2676415,8.0,7.0,3.0,0
college,7.164004999,8.888058105,2.91976927,72.00874706,3.0,5.0,3.0,1
working_student,5.301005675,5.52510033,1.931428816,80.59587541,3.0,3.0,8.0,0
college,7.384890308,5.744210578,2.641630341,80.02476353,5.0,4.0,11.0,0
working_student,6.276077147,7.274237069,3.740295364,71.16712648,5.0,10.0,10.0,1
college,,3.00625415,4.248125772,95.63466351,8.0,3.0,7.0,1
college,6.287182142,3.556566754,4.503242853,90.48901646,6.0,8.0,3.0,0
school,7.430899973,4.516737432,7.394011029,,7.0,4.0,7.0,0
college,7.081884469,2.512632572,3.65480451,95.44334506,8.0,4.0,12.0,1
working_student,4.801839622,5.44027907,,68.77720032,6.0,10.0,9.0,0
working_student,4.941571963,6.836252595,5.451822965,99.98865659,5.0,6.0,10.0,0
school,9.174697969,6.364678438,3.506571469,,6.0,6.0,8.0,0
school,9.201815494,2.031843111,3.884843061,61.39564215,5.0,,6.0,0
college,2.215711468,2.006463521,3.051482417,90.03103077,,6.0,1.0,1
school,8.553049667,5.275650909,6.079556527,76.32307112,6.0,4.0,3.0,0
school,6.283307692,1.672178439,5.543615358,78.70216158,5.0,,7.0,0
college,6.565621458,11.64119823,2.881471438,72.57913882,6.0,7.0,8.0,1
college,6.539650783,3.044716368,1.912279074,99.94776409,4.0,4.0,,0
school,7.795144702,4.130191798,2.615678335,99.53389456,6.0,4.0,1.0,0
college,6.30389448,5.977519204,6.967087806,99.96878895,6.0,9.0,10.0,0
school,6.764606422,2.695582798,3.62241977,73.13032782,6.0,3.0,7.0,0
college,8.205614529,4.823366602,6.113580165,77.57989179,8.0,8.0,3.0,1
college,5.368063609,,3.265286541,62.79182934,,6.0,1.0,0
college,5.519282867,3.564477165,7.623988439,95.4221135,8.0,7.0,11.0,0
college,6.470617653,1.296482009,1.253612425,90.9346275,8.0,9.0,5.0,1
college,4.504416495,3.790523367,5.190542059,81.96750008,6.0,4.0,9.0,1
college,6.727086314,,7.227534417,79.57105904,2.0,4.0,4.0,0
college,6.717068755,2.190386127,4.308423829,71.93024105,3.0,2.0,,0
college,7.670515558,4.410137764,0.88270731110712,68.85079362,7.0,10.0,12.0,1
working_student,6.259443882,2.297305549,7.754846969,90.21809892,1.0,2.0,11.0,0
working_student,5.335190178,,3.275609084,71.6713307,8.0,1.0,11.0,1
college,8.85199024,,2.812183908,69.82723055,4.0,7.0,3.0,0
college,6.660937543,2.900502509,2.211396932,96.58781714,8.0,5.0,7.0,0
,9.385518039,4.588633171,4.407256744,70.09159942,7.0,7.0,4.0,1
working_student,6.40969443,5.68423129,4.738047032,74.58867653,4.0,1.0,8.0,0
school,6.592913439,0.445423633655883,5.199270993,74.71496451,4.0,6.0,8.0,0
working_student,7.129497707,6.037694572,1.405540721,69.23426949,7.0,6.0,4.0,1
school,7.811630253,3.157086261,2.086569907,68.46684609,3.0,9.0,11.0,0
working_student,7.636674509,9.000485746,0.558146844534846,73.92124232,3.0,10.0,,0
college,4.035900449,,1.347799727,91.10393688,5.0,5.0,5.0,1
working_student,7.106122457,7.833100776,6.285270293,91.84812351,9.0,5.0,6.0,1
college,7.906121425,7.643114025,5.982513649,93.57309863,9.0,8.0,4.0,1
working_student,5.378674135,6.907360568,3.54675723,74.91793015,6.0,9.0,1.0,0
working_student,7.448904099,5.617844928,4.00241492,73.83040664,,8.0,9.0,0
college,5.761272914,7.739839048,3.921026764,81.55697208,3.0,5.0,11.0,0
college,2.922853815,6.141436526,6.201249519,89.06445667,6.0,6.0,5.0,1
school,7.303107549,4.6068175,,86.66098315,5.0,6.0,2.0,0
college,4.199168997,,3.161748592,70.30946835,8.0,8.0,,1
working_student,4.720695411,8.713876084,3.569384974,80.46921504,9.0,4.0,11.0,1
college,6.911920073,2.799422301,1.098407563,80.18672508,2.0,2.0,2.0,0
college,7.432078486,3.791979822,3.722706437,70.92524817,4.0,10.0,5.0,0
college,,,,85.71335336,8.0,8.0,8.0,1
school,6.966329303,3.65739315,2.81280343,57.61716117,7.0,7.0,12.0,1
college,5.833568581,8.362000708,3.586367361,98.09038601,2.0,7.0,8.0,0
working_student,5.50438586,2.565204279,1.570314847,97.25102598,9.0,5.0,3.0,1
college,2.917207713,4.882824176,4.236328294,98.71337237,10.0,9.0,6.0,1
college,6.284311154,4.274967742,2.609738703,82.85449508,2.0,5.0,11.0,0
school,8.508525896,2.144786505,3.281086762,59.63816846,3.0,6.0,9.0,0
,8.347052838,5.36130333,2.712900969,85.24217942,,10.0,5.0,0
school,8.932907678,3.822300002,8.455055705,78.21235569,9.0,5.0,,1
college,5.903288562,7.059041933,4.487110168,72.75057945,4.0,3.0,1.0,0
college,6.542642961,2.848514362,4.713113548,75.54687133,2.0,2.0,,0
college,4.179617907,4.57341176,2.406319915,85.74318936,6.0,5.0,12.0,0
school,8.030249302,,0.204487889922352,67.2719413,4.0,4.0,11.0,0
working_student,5.870651658,6.577756341,3.146083667,76.25693204,8.0,8.0,9.0,1
working_student,4.159217313,9.479990026,1.709295612,77.28505609,3.0,3.0,2.0,0
school,7.251999927,,4.468880501,82.30010007,7.0,,3.0,0
college,6.376273046,5.9981302,6.603566126,94.87045682,5.0,9.0,,1
school,8.315763396,,3.419511451,83.00777893,2.0,8.0,3.0,0
college,6.947542909,6.298120847,6.381094772,63.05538425,8.0,5.0,8.0,0
working_student,6.507326722,5.003585145,0.355167001527819,85.32901287,10.0,10.0,4.0,1
college,6.887107357,6.118652738,2.363367625,59.67034318,5.0,5.0,1.0,0
college,5.323827719,4.136391808,5.258602224,93.62340341,6.0,4.0,10.0,0
working_student,,10.02859449,0.792858332158295,58.39341185,7.0,6.0,4.0,1
school,7.649600995,1.022287423,4.219476081,79.5072644,4.0,3.0,6.0,0
college,7.014021307,3.671779905,3.780577262,68.90344117,,1.0,12.0,0
school,7.340619135,3.874407155,4.043250665,96.81665236,9.0,6.0,10.0,0
college,,0.678235740996853,2.590492069,81.31450303,7.0,,5.0,0
working_student,7.848536691,7.020339574,4.857411514,79.36971621,5.0,6.0,5.0,0
school,7.675739464,3.366041788,0.6052964338409,83.27733982,10.0,7.0,4.0,1
college,5.568207006,,5.909243594,97.45688506,6.0,9.0,9.0,1
college,6.610538449,5.64111717,4.197264331,82.35356147,4.0,5.0,4.0,0
college,7.696266177,2.529343502,4.222200916,92.75138281,10.0,4.0,11.0,1
working_student,4.676244358,5.108816719,3.408099772,63.93064622,6.0,6.0,11.0,1
school,6.520293307,3.684940613,3.776011826,76.58204518,7.0,4.0,4.0,0
college,3.539089794,4.349688915,7.608403667,74.81005699,,8.0,5.0,1
college,5.691322205,5.00125968,6.421500168,79.6336222,6.0,6.0,12.0,0
school,6.479536407,0.841735183604065,2.58133976,97.69100129,,7.0,5.0,0
college,4.499798288,4.850684552,4.767132687,94.21979422,9.0,4.0,9.0,0
college,6.042252512,,5.484714984,80.46188994,,8.0,6.0,1
college,5.507454245,7.995250879,3.837130127,97.77236993,6.0,6.0,2.0,0
working_student,8.346056798,,3.181539591,54.78410654,7.0,3.0,1.0,0
working_student,7.908027501,2.957925157,,86.92446075,3.0,4.0,1.0,1
school,6.244044175,2.340925699,1.33019403,75.66971261,3.0,7.0,2.0,0
school,9.007580224,2.532766508,6.254234867,81.4642535,9.0,10.0,1.0,1
school,6.873480697,2.891204328,,66.7285361,2.0,10.0,8.0,0
college,,6.288405384,2.876762475,98.56404467,6.0,3.0,10.0,0
college,5.250663394,7.237765448,0.589060269553853,72.85165279,3.0,9.0,4.0,0
school,7.37706317,2.055699096,4.161357523,86.26149281,6.0,10.0,5.0,0
working_student,5.70515542,6.940980835,7.843064084,80.63957452,2.0,,7.0,0
college,6.954582814,2.91999422,,73.85865415,4.0,4.0,8.0,1
college,7.124018834,6.273246727,3.547121262,75.13639841,3.0,8.0,1.0,0
college,4.690026842,2.578990454,0.263465621899405,99.34167126,2.0,6.0,11.0,0
working_student,5.800646304,3.688681588,7.5186237,87.80120886,,8.0,4.0,0
college,6.087739652,7.099529607,4.194801772,82.41285867,4.0,7.0,11.0,1
college,6.000962375,,3.229429781,,4.0,2.0,,0
college,3.70058529,2.576835433,6.029017965,94.70752932,7.0,,2.0,0
working_student,5.903934585,6.183645814,4.688476348,,4.0,3.0,12.0,1
college,,4.526364814,3.854446059,87.06603229,5.0,8.0,9.0,0
college,7.084471269,8.124702794,1.759278669,76.8287565,5.0,8.0,1.0,0
college,6.865022483,2.462629689,6.700785301,67.40894788,8.0,6.0,1.0,1
school,6.155513257,5.644473358,4.05794099,96.9163385,5.0,2.0,8.0,0
working_student,5.686595544,5.990030248,3.111544782,83.2259723,2.0,10.0,11.0,0
school,8.666315162,,3.193005726,80.51805875,2.0,1.0,8.0,0
school,8.494335594,3.290019672,3.747034925,51.47438439,7.0,8.0,12.0,0
college,5.986210579,,3.985187771,78.62408836,8.0,9.0,1.0,0
college,8.01816102,8.847822179,0.0552193331460332,82.16242992,,5.0,3.0,0
college,6.626098658,7.399600407,4.07893115,87.81779429,1.0,6.0,12.0,0
school,7.692526106,3.399521501,1.8622171,73.28493451,6.0,6.0,8.0,0
college,7.028480943,1.183242052,3.568763976,62.26775012,3.0,7.0,9.0,0
working_student,4.707510259,8.224382435,,72.76773993,4.0,8.0,,1
college,8.371667614,3.800933057,3.24377581,80.38927139,6.0,6.0,8.0,0
college,6.484130949,4.921331949,4.997486741,72.80657992,1.0,5.0,6.0,0
school,7.124743925,1.957518858,3.802071462,85.47132293,6.0,,3.0,0
working_student,3.492705729,8.06518372,3.91990491,88.29458342,6.0,3.0,11.0,1
school,5.412086205,2.174077907,5.486201641,70.91641957,6.0,6.0,,0
college,6.261768653,4.383207189,1.040168105,84.16272366,3.0,6.0,12.0,0
college,7.149985569,3.086954207,3.013658803,70.95116492,3.0,5.0,6.0,0
college,,3.330264853,3.931377886,86.43656549,3.0,6.0,6.0,0
working_student,4.750920375,,4.829405568,87.66756258,6.0,6.0,10.0,0
school,6.964359761,2.928475776,4.394237739,81.5784049,2.0,7.0,3.0,0
school,7.836233234,5.011417168,4.666552773,93.70372271,4.0,9.0,,0
college,6.755939332,5.08864196,7.367747774,68.7422707,6.0,6.0,8.0,0
working_student,7.056190207,7.611746492,2.399813416,87.83237923,6.0,4.0,4.0,1
college,6.533816335,6.314255655,1.050112255,93.73656031,2.0,8.0,1.0,1
college,8.41314386,5.437010489,5.068137954,72.66047222,8.0,6.0,12.0,1
college,5.136460125,3.905394356,4.619864652,91.13128786,8.0,1.0,7.0,1
school,6.649074473,2.419228619,3.781422277,120.0,8.0,2.0,,0
school,9.831970147,4.540468404,7.939750808,75.3924689,6.0,9.0,7.0,0
working_student,9.134517784,6.531233757,3.600481446,97.97085756,5.0,6.0,12.0,0
college,5.474230762,8.466603437,,88.91565429,7.0,2.0,9.0,1
school,8.270296864,3.95009866,7.29827758,90.79511362,5.0,7.0,2.0,0
college,8.79150419,2.423890629,5.264601544,95.78465577,7.0,6.0,3.0,1
college,5.33205111,5.015895345,0.114509092975963,84.59099926,4.0,,12.0,0
college,4.635133756,1.950123065,2.757165903,81.96348639,6.0,6.0,8.0,0
college,7.274809344,5.462594315,4.080548426,86.89368936,9.0,,2.0,1
working_student,5.295196502,3.303329663,0.574535194733941,98.33116799,5.0,8.0,11.0,0
working_student,7.112512639,6.863468331,1.322933294,83.66204613,5.0,3.0,2.0,1
,4.651448302,8.239760458,2.733168949,95.8973282,5.0,7.0,8.0,1
college,5.480636055,7.625139789,7.498005175,82.74311361,3.0,5.0,12.0,1
working_student,3.997169436,5.772541204,5.254639399,90.51158202,1.0,5.0,1.0,0
school,7.104063309,,0.36746926580852,88.14489783,8.0,8.0,1.0,1
college,5.932200528,4.488626471,3.492212961,95.87072341,5.0,7.0,9.0,0
college,6.841577471,6.066081195,2.180704587,96.03118873,6.0,6.0,1.0,0
college,6.602160104,2.643409639,2.768456094,99.72987645,7.0,5.0,10.0,0
college,,5.202735104,3.685578509,86.02648352,10.0,9.0,5.0,1
school,5.348130885,1.372744791,7.235185133,64.94402369,6.0,8.0,6.0,0
working_student,4.376485637,5.723768867,0.826324690675463,75.83033373,5.0,,7.0,0
college,7.018042893,5.764181184,4.588529461,72.82620708,2.0,9.0,2.0,0
college,5.439494514,6.214631391,0.30888591435051,65.06369328,8.0,5.0,10.0,1
college,7.139306486,7.568652204,6.401328713,63.80197415,10.0,7.0,5.0,1
school,8.064441565,3.325524879,4.311772931,54.93825135,3.0,7.0,1.0,0
college,3.434393667,6.802380449,2.427083364,81.45181571,8.0,5.0,4.0,1
